2497,4,same,up,down
137.13,3675481,134.96,137.29,1
135.02,5166725,137.51,138.33,2
135.77,6623494,136.12,137.53,2
138.16,4877834,136.63,138.96,1
135.61,6011579,139.89,140.0902,2
139.96,4981578,138.69,140.6699,1
140.79,3220232,141.73,141.9399,2
141.35,2997868,142.14,143.07,2
141.72,3782885,143.31,143.61,2
143.8,3147971,143.91,144.15,2
143.84,3989269,141.75,144.06,1
140.74,3386397,141.16,141.975,2
141.37,7980495,142,142.3168,2
139.53,11707360,142.02,142.9699,2
142.57,6876407,146.93,146.95,2
147.26,3690604,147.25,148.02,1
147.52,2515119,147.28,147.7632,1
147.63,3197963,148.62,148.95,2
148.59,3220953,149.58,149.61,2
149.86,2564238,150.26,150.49,2
149.66,2159383,149.86,150.1,2
149.88,2719151,150.42,150.77,2
149.65,1797076,149.28,149.986,1
150.3,1808270,150.24,150.9481,1
149.95,4902916,150.61,151.29,2
150.53,2318979,150.89,151.075,2
150.61,1668761,150.87,150.93,2
151.16,1986009,151.82,151.839,2
151.31,1714273,150.83,151.47,1
150.15,1809910,150.12,150.4767,1
150.13,1665427,149.43,150.4436,1
149.33,1661940,150.24,150.28,2
150.28,1362719,150.28,150.48,0
150.16,1905984,149.97,150.3268,1
149.41,2181169,149.31,149.64,1
149.4,2575374,148.55,149.62,1
148.9,2156338,149.2,149.33,2
148.58,2334552,148.37,149.1732,1
148.92,2592415,149.46,149.6899,2
149.37,2772138,149.66,149.69,2
149.86,2340198,149.89,150.1,2
150.07,2537507,149.81,150.28,1
150.01,2150478,150.31,150.6,2
150.63,2688556,149.96,150.77,1
149.84,3015399,150.1,150.1999,2
149.75,2125878,149.32,149.87,1
148.68,1712797,148.15,148.76,1
147.76,1351214,147.9,148.37,2
148.05,1169607,147.79,148.289,1
148,2089701,147.78,148.51,1
147.45,5759777,147.45,147.69,0
147.17,2188467,146.45,147.3902,1
146.63,1347587,146.28,147.15,1
145.49,2684921,145.87,146.03,2
146.65,1784334,146.11,146.7837,1
145.69,1898234,146.4,146.75,2
146.25,1854223,146.35,146.76,2
147.17,1233141,147.37,147.68,2
147.27,1270629,147.33,147.5262,2
147.41,2532635,147.29,147.62,1
146.93,1802173,146.31,147.059,1
146.27,1977447,145.89,146.2901,1
145.78,1508519,144.17,145.91,1
144.92,1523987,145.19,145.53,2
145.09,2004117,144.82,145.51,1
144.27,5379520,145.22,145.34,2
145.22,2535037,146.6,146.6399,2
146.39,2084643,146.23,146.74,1
146.63,2126167,145.3,146.67,1
145.39,2340032,145.77,146.09,2
145.07,1443850,144.79,145.16,1
144.84,1507875,145,145.24,2
145.1,2034368,145.07,145.42,1
145.45,1327676,145.13,145.5,1
145.13,1767126,144.02,145.33,1
144.47,1571319,144.77,144.84,2
144.7,1965410,144.53,144.98,1
144.61,1440593,144.18,144.66,1
143.43,2042472,143.62,144.0999,2
144.46,1434818,144.39,144.6135,1
144.09,2153106,143.46,144.11,1
142.79,1756480,141.66,143,1
141.6,2796242,141.13,141.6249,1
140.41,1325978,141.36,141.47,2
140.77,2819879,139.56,140.88,1
140.43,1849604,140.9,141.66,2
140.33,2490610,139.43,140.69,1
139.46,2958860,141.2,141.89,2
140.77,2085272,140.7,141.252,1
140.45,4347684,141.85,141.99,2
142.45,1226323,143,143.0836,2
142.85,1881270,143.83,143.85,2
143.84,1468383,143.95,144.19,2
143.51,1962026,142.75,143.62,1
143.99,1605719,143.3,144.06,1
144.15,3328398,143.85,144.33,1
144.29,1809680,144.4,144.57,2
