2497,,same,up,down
122.9,308006.2,122.9,123.45,0
122.87,214504.1,122.56,123.09,1
122.11,217873.6,122.17,122.2755,2
120.83,200653,121.21,121.21,2
121.22,178342.5,120.59,121.4299,1
120.23,180701.3,120.72,120.92,2
120.33,186543.1,120.2,120.565,1
120.59,319889.3,119.88,120.61,1
119.55,285069.2,120.15,120.56,2
120.37,196719.3,120.88,120.99,2
120.99,289544.6,120.87,121,1
121.03,166944.7,121.04,121.51,2
120.88,199723.6,120.84,121.29,1
120.97,205606.6,120.69,121.26,1
120.59,390573,121.49,122.0199,2
121.08,246264.1,120.89,121.105,1
121.02,310055.3,121.45,121.5,2
121.32,181586,121.42,121.7155,2
121.53,207679.1,121.14,121.62,1
121.08,319624.3,120.88,121.23,1
120.86,269828.2,119.96,121.14,1
120.02,292641.4,119.18,120.19,1
120.16,230543.8,120.42,120.74,2
120.69,225611.2,120.66,121.39,1
120.73,289653.1,120.48,120.91,1
120.57,335209.3,122.69,122.72,2
122.2717,323987.1,122.51,122.62,2
122.57,197387.9,122.84,122.8848,2
122.64,205010,122.96,123,2
122.79,189220.8,121.98,123.04,1
121.69,226936.7,121.87,121.87,2
122.13,200283.2,122.06,122.16,1
122.04,298747,122.19,122.25,2
121.6,385123.7,121.6,121.8899,0
121.54,237457.5,121.99,122.18,2
121.88,161262.4,122.21,122.29,2
122.27,171627.4,122.48,122.48,2
122.75,165157.6,122.63,122.8,1
122.65,242149.6,123.42,123.42,2
123.44,287455.4,122.81,123.727,1
121.8,223094.4,122.18,122.18,2
122.25,262493.8,121.92,122.3554,1
121.98,296293.8,121.38,121.99,1
121.78,202488.4,122.21,122.23,2
121.87,197345.7,121.82,122.03,1
122.03,242285.3,121.55,122.13,1
121.31,194846.4,120.66,121.31,1
121.13,203480.1,121.25,121.37,2
121.24,199819.7,120.57,121.35,1
120.58,205117,120.1,120.63,1
120.14,198551.6,119.92,120.33,1
119.54,183781.5,119.29,119.7,1
119.04,163531.5,118.42,119.2063,1
118.26,183598.4,117.92,118.32,1
118.13,336604.1,118.43,118.53,2
118.14,159882.3,118.26,118.41,2
118.42,183742.7,117.99,118.5199,1
117.53,174529.8,117.21,117.72,1
117.45,261433.9,117.86,118.0401,2
117.46,330803.7,117,117.46,1
117.36,300611.4,117.73,117.8,2
118.16,147953.7,118.45,118.48,2
118.35,217831.3,118.56,118.62,2
118.52,242784.3,118.02,118.56,1
117.51,216587.3,116.82,117.74,1
